"No","種類","地域","市区町村コード","都道府県名","市区町村名","地区名","最寄駅：名称","最寄駅：距離（分）","取引価格（総額）","坪単価","間取り","面積（㎡）","取引価格（㎡単価）","土地の形状","間口","延床面積（㎡）","建築年","建物の構造","用途","今後の利用目的","前面道路：方位","前面道路：種類","前面道路：幅員（ｍ）","都市計画","建ぺい率（％）","容積率（％）","取引時点","改装","取引の事情等"
209,"中古マンション等","","13112","東京都","世田谷区","三軒茶屋","三軒茶屋","3",6000000,"","１ＤＫ","30",,"","","","昭和53年","ＳＲＣ","","住宅","","",,"商業地域",80,600,"2019年第３四半期","未改装",""
210,"中古マンション等","","13112","東京都","世田谷区","三軒茶屋","三軒茶屋","9",25000000,"","１Ｋ","20",,"","","","平成15年","ＲＣ","","住宅","","",,"商業地域",80,500,"2019年第３四半期","未改装",""
211,"中古マンション等","","13112","東京都","世田谷区","三軒茶屋","三軒茶屋","3",35000000,"","２ＬＤＫ","45",,"","","","昭和53年","ＳＲＣ","","その他","","",,"商業地域",80,600,"2019年第３四半期","未改装",""
212,"宅地(土地と建物)","住宅地","13112","東京都","世田谷区","下馬","学芸大学","6",70000000,"","","85",,"ほぼ長方形","7.4","95","平成3年","木造","住宅","住宅","南西","区道",8.0,"第１種低層住居専用地域",50,150,"2019年第３四半期","",""
213,"宅地(土地)","住宅地","13112","東京都","世田谷区","下馬","学芸大学","11",83000000,"3000000","","95",890000,"長方形","","","","","","住宅","北西","区道",3.5,"第１種低層住居専用地域",50,150,"2019年第３四半期","","私道を含む取引"
214,"宅地(土地と建物)","住宅地","13112","東京都","世田谷区","下馬","学芸大学","15",97000000,"","","115",,"ほぼ長方形","7.3","95","平成31年","木造","住宅","住宅","北西","私道",3.4,"第１種低層住居専用地域",50,150,"2019年第３四半期","","私道を含む取引"
215,"中古マンション等","","13112","東京都","世田谷区","下馬","学芸大学","9",28000000,"","オープンフロア","40",,"","","","昭和47年","ＳＲＣ","事務所","事務所","","",,"近隣商業地域",80,300,"2019年第３四半期","改装済",""
216,"中古マンション等","","13112","東京都","世田谷区","下馬","学芸大学","7",53000000,"","２ＬＤＫ","70",,"","","","昭和47年","ＳＲＣ","","住宅","","",,"第１種住居地域",60,200,"2019年第３四半期","未改装",""
217,"中古マンション等","","13112","東京都","世田谷区","下馬","学芸大学","11",27000000,"","１Ｋ","25",,"","","","平成16年","ＲＣ","","住宅","","",,"第２種住居地域",60,300,"2019年第３四半期","未改装",""
218,"中古マンション等","","13112","東京都","世田谷区","下馬","学芸大学","8",80000000,"","３ＬＤＫ","85",,"","","","平成12年","ＲＣ","住宅","住宅","","",,"近隣商業地域",80,300,"2019年第３四半期","未改装",""
219,"宅地(土地)","住宅地","13112","東京都","世田谷区","下馬","三軒茶屋","13",66000000,"3100000","","70",940000,"長方形","6.9","","","","","住宅","北東","区道",5.9,"第１種中高層住居専用地域",60,200,"2019年第３四半期","",""
220,"宅地(土地)","住宅地","13112","東京都","世田谷区","下馬","三軒茶屋","14",46000000,"2800000","","55",850000,"長方形","4.4","","","","","住宅","北西","区道",12.8,"第１種中高層住居専用地域",60,200,"2019年第３四半期","",""
221,"中古マンション等","","13112","東京都","世田谷区","下馬","三軒茶屋","16",10000000,"","１Ｒ","15",,"","","","平成3年","ＲＣ","","住宅","","",,"第１種中高層住居専用地域",60,200,"2019年第３四半期","改装済",""
222,"宅地(土地と建物)","住宅地","13112","東京都","世田谷区","下馬","祐天寺","15",82000000,"","","70",,"長方形","4.8","105","平成31年","木造","住宅","住宅","北","区道",5.9,"第１種中高層住居専用地域",60,200,"2019年第３四半期","",""
223,"中古マンション等","","13112","東京都","世田谷区","下馬","祐天寺","12",19000000,"","２ＤＫ","45",,"","","","昭和44年","ＲＣ","","住宅","","",,"第１種中高層住居専用地域",60,200,"2019年第３四半期","未改装","調停・競売等"
224,"宅地(土地)","住宅地","13112","東京都","世田谷区","新町","桜新町","7",160000000,"3200000","","160",960000,"ほぼ台形","8.5","","","","","住宅","北東","区道",8.0,"第１種低層住居専用地域",60,150,"2019年第３四半期","",""
225,"宅地(土地と建物)","住宅地","13112","東京都","世田谷区","新町","桜新町","16",90000000,"","","110",,"ほぼ長方形","9.6","175","平成2年","ＲＣ","住宅","住宅","西","私道",4.0,"第１種低層住居専用地域",50,100,"2019年第３四半期","",""
226,"宅地(土地)","住宅地","13112","東京都","世田谷区","成城","成城学園前","9",160000000,"2500000","","210",750000,"長方形","12.6","","","","","住宅","南","私道",5.0,"第１種低層住居専用地域",40,80,"2019年第３四半期","","私道を含む取引"
227,"宅地(土地と建物)","住宅地","13112","東京都","世田谷区","成城","成城学園前","9",99000000,"","","195",,"不整形","7.0","115","平成25年","木造","住宅","住宅","西","道路",5.0,"第１種低層住居専用地域",50,100,"2019年第３四半期","","私道を含む取引"
228,"宅地(土地と建物)","住宅地","13112","東京都","世田谷区","成城","成城学園前","14",42000000,"","","70",,"長方形","4.9","45","平成31年","木造","住宅","住宅","南","私道",3.9,"第１種低層住居専用地域",40,80,"2019年第３四半期","","私道を含む取引"
229,"宅地(土地と建物)","住宅地","13112","東京都","世田谷区","成城","成城学園前","14",70000000,"","","110",,"不整形","6.7","155","平成13年","木造","住宅、駐車場","住宅","西","区道",8.0,"第１種中高層住居専用地域",60,200,"2019年第３四半期","",""
230,"宅地(土地)","住宅地","13112","東京都","世田谷区","成城","成城学園前","7",110000000,"2200000","","165",650000,"長方形","8.9","","","","","住宅","南西","区道",3.7,"第１種低層住居専用地域",40,80,"2019年第３四半期","",""
231,"宅地(土地)","住宅地","13112","東京都","世田谷区","成城","成城学園前","8",140000000,"1800000","","260",540000,"ほぼ長方形","10.6","","","","","住宅","南西","区道",6.2,"第１種低層住居専用地域",40,80,"2019年第３四半期","",""
232,"宅地(土地)","住宅地","13112","東京都","世田谷区","成城","成城学園前","8",110000000,"1800000","","210",540000,"ほぼ長方形","8.2","","","","","住宅","南西","区道",6.2,"第１種低層住居専用地域",40,80,"2019年第３四半期","",""
233,"宅地(土地と建物)","住宅地","13112","東京都","世田谷区","成城","成城学園前","14",100000000,"","","165",,"ほぼ長方形","","150","令和2年","木造","共同住宅","住宅","東","私道",1.8,"第１種低層住居専用地域",40,80,"2019年第３四半期","",""
234,"中古マンション等","","13112","東京都","世田谷区","成城","成城学園前","19",51000000,"","４ＬＤＫ","90",,"","","","平成9年","ＲＣ","","","","",,"第１種中高層住居専用地域",60,200,"2019年第３四半期","未改装",""
235,"中古マンション等","","13112","東京都","世田谷区","成城","成城学園前","13",18000000,"","１Ｋ","25",,"","","","平成7年","ＲＣ","住宅","住宅","","",,"第１種中高層住居専用地域",60,200,"2019年第３四半期","未改装",""
236,"中古マンション等","","13112","東京都","世田谷区","成城","成城学園前","9",85000000,"","３ＬＤＫ","75",,"","","","平成18年","ＲＣ","住宅","住宅","","",,"第１種中高層住居専用地域",50,150,"2019年第３四半期","未改装",""
237,"中古マンション等","","13112","東京都","世田谷区","瀬田","上野毛","7",79000000,"","２ＬＤＫ","70",,"","","","平成21年","ＲＣ","住宅","住宅","","",,"第２種低層住居専用地域",60,150,"2019年第３四半期","未改装",""
238,"中古マンション等","","13112","東京都","世田谷区","瀬田","上野毛","9",39000000,"","２ＬＤＫ","55",,"","","","平成24年","ＲＣ","住宅","住宅","","",,"近隣商業地域",80,300,"2019年第３四半期","未改装",""
239,"宅地(土地)","住宅地","13112","東京都","世田谷区","瀬田","二子玉川","11",140000000,"2800000","","165",830000,"ほぼ長方形","15.4","","","","","住宅","南西","区道",6.0,"第１種低層住居専用地域",50,100,"2019年第３四半期","",""
240,"宅地(土地と建物)","住宅地","13112","東京都","世田谷区","瀬田","二子玉川","10",63000000,"","","60",,"長方形","6.0","70","平成30年","木造","住宅","住宅","北西","私道",4.0,"第１種中高層住居専用地域",50,150,"2019年第３四半期","",""
241,"中古マンション等","","13112","東京都","世田谷区","瀬田","二子玉川","11",12000000,"","１Ｋ","20",,"","","","平成9年","ＲＣ","住宅","住宅","","",,"準住居地域",60,300,"2019年第３四半期","",""
242,"中古マンション等","","13112","東京都","世田谷区","瀬田","二子玉川","5",160000000,"","３ＬＤＫ","90",,"","","","平成11年","ＲＣ","住宅","住宅","","",,"第１種低層住居専用地域",50,100,"2019年第３四半期","改装済",""
243,"中古マンション等","","13112","東京都","世田谷区","瀬田","二子玉川","11",87000000,"","２ＬＤＫ","70",,"","","","平成27年","ＲＣ","住宅","住宅","","",,"準住居地域",60,300,"2019年第３四半期","未改装",""
244,"宅地(土地と建物)","住宅地","13112","東京都","世田谷区","瀬田","用賀","8",60000000,"","","70",,"ほぼ長方形","8.8","95","平成14年","ＲＣ、木造","住宅","住宅","西","区道",8.0,"第１種低層住居専用地域",50,100,"2019年第３四半期","",""
245,"宅地(土地)","住宅地","13112","東京都","世田谷区","瀬田","用賀","14",150000000,"1600000","","310",480000,"袋地等","6.4","","","","","住宅","南西","区道",5.9,"第１種低層住居専用地域",50,100,"2019年第３四半期","",""
246,"宅地(土地)","住宅地","13112","東京都","世田谷区","瀬田","用賀","14",71000000,"2300000","","100",700000,"ほぼ長方形","6.9","","","","","住宅","南","区道",6.0,"第１種低層住居専用地域",50,100,"2019年第３四半期","",""
247,"宅地(土地と建物)","住宅地","13112","東京都","世田谷区","瀬田","用賀","14",90000000,"","","80",,"ほぼ整形","8.0","100","平成30年","木造","住宅","住宅","東","私道",4.5,"第１種中高層住居専用地域",60,200,"2019年第３四半期","",""
248,"宅地(土地と建物)","住宅地","13112","東京都","世田谷区","瀬田","用賀","14",68000000,"","","85",,"ほぼ整形","5.1","80","平成31年","木造","住宅","住宅","西","区道",6.0,"第１種低層住居専用地域",50,100,"2019年第３四半期","",""
249,"宅地(土地)","住宅地","13112","東京都","世田谷区","瀬田","用賀","14",74000000,"2000000","","120",620000,"ほぼ整形","7.2","","","","","住宅","南東","区道",6.0,"第１種低層住居専用地域",50,100,"2019年第３四半期","","私道を含む取引"
250,"宅地(土地と建物)","住宅地","13112","東京都","世田谷区","瀬田","用賀","13",100000000,"","","230",,"ほぼ長方形","","180","平成2年","木造","共同住宅","住宅","北西","私道",5.0,"第１種中高層住居専用地域",60,200,"2019年第３四半期","",""
251,"中古マンション等","","13112","東京都","世田谷区","瀬田","用賀","15",22000000,"","１Ｋ","20",,"","","","平成16年","ＲＣ","住宅","その他","","",,"近隣商業地域",80,300,"2019年第３四半期","未改装",""
252,"中古マンション等","","13112","東京都","世田谷区","瀬田","用賀","15",22000000,"","１Ｋ","20",,"","","","平成16年","ＲＣ","住宅","その他","","",,"近隣商業地域",80,300,"2019年第３四半期","未改装",""
253,"中古マンション等","","13112","東京都","世田谷区","瀬田","用賀","10",22000000,"","","25",,"","","","平成27年","ＲＣ","住宅","","","",,"近隣商業地域",80,300,"2019年第３四半期","",""
254,"中古マンション等","","13112","東京都","世田谷区","瀬田","用賀","17",49000000,"","４ＬＤＫ","65",,"","","","平成9年","ＲＣ","住宅","住宅","","",,"第１種中高層住居専用地域",60,200,"2019年第３四半期","未改装",""
255,"中古マンション等","","13112","東京都","世田谷区","世田谷","上町","7",40000000,"","１ＬＤＫ","40",,"","","","平成16年","ＲＣ","住宅","","","",,"近隣商業地域",80,300,"2019年第３四半期","未改装",""
256,"中古マンション等","","13112","東京都","世田谷区","世田谷","上町","5",30000000,"","１ＤＫ","40",,"","","","昭和64年","ＲＣ","住宅","住宅","","",,"近隣商業地域",80,300,"2019年第３四半期","改装済",""
257,"中古マンション等","","13112","東京都","世田谷区","世田谷","上町","1",16000000,"","１Ｋ","20",,"","","","平成14年","ＲＣ","住宅","住宅","","",,"近隣商業地域",80,300,"2019年第３四半期","未改装",""
258,"中古マンション等","","13112","東京都","世田谷区","世田谷","松陰神社前","4",71000000,"","２ＬＤＫ","75",,"","","","平成29年","ＲＣ","住宅","住宅","","",,"第１種住居地域",60,300,"2019年第３四半期","未改装",""
259,"宅地(土地と建物)","住宅地","13112","東京都","世田谷区","祖師谷","成城学園前","5",72000000,"","","115",,"ほぼ長方形","6.0","125","平成17年","木造","住宅","住宅","南西","区道",3.9,"第１種低層住居専用地域",60,150,"2019年第３四半期","",""
260,"宅地(土地)","住宅地","13112","東京都","世田谷区","祖師谷","祖師ケ谷大蔵","20",60000000,"1200000","","165",360000,"ほぼ台形","11.0","","","","","住宅","西","区道",4.0,"第１種低層住居専用地域",40,80,"2019年第３四半期","",""
261,"宅地(土地と建物)","住宅地","13112","東京都","世田谷区","祖師谷","祖師ケ谷大蔵","18",52000000,"","","130",,"長方形","8.7","95","平成12年","木造","住宅","住宅","南","私道",4.5,"第１種低層住居専用地域",40,80,"2019年第３四半期","",""
262,"宅地(土地と建物)","商業地","13112","東京都","世田谷区","祖師谷","祖師ケ谷大蔵","5",79000000,"","","135",,"ほぼ長方形","10.2","180","昭和30年","","住宅、店舗","店舗","西","区道",5.5,"近隣商業地域",80,300,"2019年第３四半期","",""
263,"中古マンション等","","13112","東京都","世田谷区","祖師谷","祖師ケ谷大蔵","4",7200000,"","１Ｋ","15",,"","","","昭和59年","ＲＣ","住宅","住宅","","",,"第１種低層住居専用地域",60,150,"2019年第３四半期","未改装",""
264,"中古マンション等","","13112","東京都","世田谷区","祖師谷","祖師ケ谷大蔵","6",49000000,"","３ＬＤＫ","80",,"","","","昭和59年","ＲＣ","住宅","住宅","","",,"第１種低層住居専用地域",60,150,"2019年第３四半期","改装済",""
265,"宅地(土地)","住宅地","13112","東京都","世田谷区","祖師谷","千歳烏山","16",23000000,"920000","","85",280000,"袋地等","2.6","","","","","その他","北東","区道",4.5,"第１種低層住居専用地域",50,100,"2019年第３四半期","",""
266,"宅地(土地)","住宅地","13112","東京都","世田谷区","代沢","三軒茶屋","11",110000000,"2600000","","135",770000,"ほぼ長方形","14.6","","","","","","東","区道",2.8,"第１種中高層住居専用地域",60,200,"2019年第３四半期","",""
267,"宅地(土地)","住宅地","13112","東京都","世田谷区","代沢","下北沢","12",120000000,"2200000","","175",660000,"長方形","7.4","","","","","住宅","東","区道",5.3,"第１種中高層住居専用地域",50,150,"2019年第３四半期","",""
268,"宅地(土地)","住宅地","13112","東京都","世田谷区","代沢","下北沢","8",260000000,"2300000","","380",690000,"不整形","40.0","","","","","その他","南西","区道",5.4,"第１種低層住居専用地域",50,150,"2019年第３四半期","",""
269,"宅地(土地と建物)","住宅地","13112","東京都","世田谷区","代沢","下北沢","5",380000000,"","","350",,"ほぼ正方形","18.5","175","昭和39年","木造","住宅、駐車場","","北","区道",3.9,"第１種低層住居専用地域",50,150,"2019年第３四半期","",""
270,"宅地(土地と建物)","住宅地","13112","東京都","世田谷区","太子堂","三軒茶屋","10",89000000,"","","85",,"不整形","2.6","115","平成30年","木造","住宅","住宅","南","区道",4.0,"第１種中高層住居専用地域",60,100,"2019年第３四半期","","私道を含む取引"
271,"宅地(土地と建物)","商業地","13112","東京都","世田谷区","太子堂","三軒茶屋","9",20000000,"","","35",,"正方形","6.0","50","昭和44年","木造","住宅","","南東","道路",3.5,"近隣商業地域",80,200,"2019年第３四半期","",""
272,"宅地(土地)","住宅地","13112","東京都","世田谷区","太子堂","三軒茶屋","7",200000000,"3300000","","200",1000000,"長方形","13.0","","","","","住宅","北","区道",5.3,"第１種住居地域",60,200,"2019年第３四半期","",""
273,"中古マンション等","","13112","東京都","世田谷区","太子堂","三軒茶屋","2",11000000,"","１Ｋ","15",,"","","","昭和59年","ＲＣ","","住宅","","",,"第１種住居地域",60,200,"2019年第３四半期","未改装",""
274,"中古マンション等","","13112","東京都","世田谷区","太子堂","三軒茶屋","8",24000000,"","１Ｋ","20",,"","","","平成15年","ＲＣ","住宅","住宅","","",,"商業地域",80,500,"2019年第３四半期","",""
275,"中古マンション等","","13112","東京都","世田谷区","太子堂","三軒茶屋","4",28000000,"","１Ｋ","20",,"","","","平成22年","ＲＣ","住宅","住宅","","",,"商業地域",80,500,"2019年第３四半期","未改装",""
276,"中古マンション等","","13112","東京都","世田谷区","太子堂","三軒茶屋","4",7000000,"","１Ｒ","15",,"","","","平成2年","ＲＣ","住宅","その他","","",,"近隣商業地域",80,200,"2019年第３四半期","未改装",""
277,"中古マンション等","","13112","東京都","世田谷区","太子堂","三軒茶屋","2",13000000,"","１ＤＫ","35",,"","","","昭和54年","ＳＲＣ","住宅","その他","","",,"商業地域",80,500,"2019年第３四半期","未改装",""
278,"中古マンション等","","13112","東京都","世田谷区","太子堂","三軒茶屋","10",100000000,"","３ＬＤＫ","80",,"","","","平成20年","ＲＣ","","住宅","","",,"第１種中高層住居専用地域",60,200,"2019年第３四半期","未改装",""
279,"中古マンション等","","13112","東京都","世田谷区","太子堂","三軒茶屋","3",28000000,"","１Ｋ","20",,"","","","平成22年","ＲＣ","住宅","住宅","","",,"商業地域",80,500,"2019年第３四半期","未改装",""
280,"中古マンション等","","13112","東京都","世田谷区","太子堂","三軒茶屋","2",48000000,"","２ＤＫ","60",,"","","","昭和49年","ＳＲＣ","住宅","住宅","","",,"近隣商業地域",80,300,"2019年第３四半期","改装済",""
281,"中古マンション等","","13112","東京都","世田谷区","太子堂","三軒茶屋","6",19000000,"","１ＬＤＫ","40",,"","","","昭和53年","ＳＲＣ","","その他","","",,"商業地域",80,500,"2019年第３四半期","未改装",""
282,"宅地(土地と建物)","住宅地","13112","東京都","世田谷区","代田","梅ケ丘","9",74000000,"","","105",,"不整形","12.1","90","平成30年","木造","住宅","住宅","南西","区道",4.5,"第１種低層住居専用地域",60,150,"2019年第３四半期","",""
283,"宅地(土地)","住宅地","13112","東京都","世田谷区","代田","梅ケ丘","6",110000000,"2200000","","165",680000,"長方形","9.1","","","","","その他","南東","区道",6.0,"第１種低層住居専用地域",60,150,"2019年第３四半期","",""
284,"宅地(土地と建物)","住宅地","13112","東京都","世田谷区","代田","下北沢","2",130000000,"","","110",,"長方形","7.2","105","平成30年","木造","共同住宅","住宅","北","区道",3.7,"第１種低層住居専用地域",50,150,"2019年第３四半期","",""
285,"宅地(土地と建物)","住宅地","13112","東京都","世田谷区","代田","新代田","2",150000000,"","","160",,"ほぼ正方形","7.0","185","平成8年","木造","住宅","その他","西","区道",4.5,"第１種低層住居専用地域",50,150,"2019年第３四半期","","調停・競売等"
286,"宅地(土地と建物)","住宅地","13112","東京都","世田谷区","代田","新代田","4",76000000,"","","65",,"長方形","5.8","95","平成31年","木造","住宅","住宅","南","区道",4.2,"第１種低層住居専用地域",50,150,"2019年第３四半期","",""
287,"宅地(土地と建物)","住宅地","13112","東京都","世田谷区","代田","世田谷代田","7",65000000,"","","85",,"ほぼ台形","8.3","180","平成3年","ＲＣ","住宅","事務所","西","区道",6.0,"第１種低層住居専用地域",60,150,"2019年第３四半期","",""
288,"中古マンション等","","13112","東京都","世田谷区","玉川","二子玉川","6",12000000,"","１Ｋ","15",,"","","","昭和59年","ＲＣ","住宅","その他","","",,"第１種住居地域",60,200,"2019年第３四半期","未改装",""
289,"中古マンション等","","13112","東京都","世田谷区","玉川","二子玉川","1",95000000,"","１ＬＤＫ","60",,"","","","平成17年","ＲＣ","","住宅","","",,"商業地域",80,500,"2019年第３四半期","未改装",""
290,"中古マンション等","","13112","東京都","世田谷区","玉川","二子玉川","10",33000000,"","１ＤＫ","30",,"","","","平成19年","ＲＣ","","住宅","","",,"第１種低層住居専用地域",50,100,"2019年第３四半期","未改装",""
291,"中古マンション等","","13112","東京都","世田谷区","玉川","二子玉川","6",82000000,"","２ＬＤＫ","60",,"","","","平成22年","ＲＣ","","住宅","","",,"第１種住居地域",60,200,"2019年第３四半期","未改装",""
292,"中古マンション等","","13112","東京都","世田谷区","玉川台","用賀","4",29000000,"","１Ｋ","35",,"","","","平成16年","ＲＣ","住宅","住宅","","",,"第１種低層住居専用地域",50,100,"2019年第３四半期","未改装",""
293,"中古マンション等","","13112","東京都","世田谷区","玉川台","用賀","3",70000000,"","２ＬＤＫ","65",,"","","","平成20年","ＲＣ","住宅","住宅","","",,"第１種中高層住居専用地域",60,200,"2019年第３四半期","未改装",""
294,"中古マンション等","","13112","東京都","世田谷区","玉堤","尾山台","19",9900000,"","２Ｋ","35",,"","","","昭和63年","ＲＣ","住宅","住宅","","",,"第１種中高層住居専用地域",60,200,"2019年第３四半期","改装済",""
295,"中古マンション等","","13112","東京都","世田谷区","玉堤","尾山台","19",31000000,"","３ＬＤＫ","60",,"","","","昭和54年","ＲＣ","","住宅","","",,"第１種中高層住居専用地域",60,200,"2019年第３四半期","改装済",""
296,"中古マンション等","","13112","東京都","世田谷区","玉堤","尾山台","13",18000000,"","１Ｋ","25",,"","","","","ＲＣ","住宅","","","",,"第１種中高層住居専用地域",60,200,"2019年第３四半期","未改装",""
297,"中古マンション等","","13112","東京都","世田谷区","玉堤","田園調布","17",45000000,"","３ＬＤＫ","65",,"","","","平成16年","ＲＣ","住宅","住宅","","",,"第１種中高層住居専用地域",60,200,"2019年第３四半期","改装済",""
298,"宅地(土地)","住宅地","13112","東京都","世田谷区","千歳台","祖師ケ谷大蔵","15",52000000,"1700000","","100",530000,"長方形","7.8","","","","","","南","区道",3.9,"第１種低層住居専用地域",50,100,"2019年第３四半期","",""
299,"宅地(土地と建物)","住宅地","13112","東京都","世田谷区","千歳台","祖師ケ谷大蔵","19",15000000,"","","145",,"ほぼ台形","","140","昭和42年","木造","住宅、その他","住宅","南西","私道",4.0,"第２種中高層住居専用地域",60,200,"2019年第３四半期","","関係者間取引、私道を含む取引"
300,"宅地(土地と建物)","住宅地","13112","東京都","世田谷区","千歳台","祖師ケ谷大蔵","19",40000000,"","","110",,"不整形","","100","平成17年","木造","住宅","住宅","南西","私道",5.0,"第１種低層住居専用地域",50,100,"2019年第３四半期","",""
301,"中古マンション等","","13112","東京都","世田谷区","千歳台","千歳船橋","11",17000000,"","１Ｋ","15",,"","","","平成11年","ＳＲＣ","","住宅","","",,"第２種住居地域",60,300,"2019年第３四半期","未改装",""
302,"宅地(土地と建物)","住宅地","13112","東京都","世田谷区","弦巻","上町","11",100000000,"","","95",,"不整形","","100","平成31年","木造","住宅","住宅","南東","私道",4.5,"第１種低層住居専用地域",60,150,"2019年第３四半期","",""
303,"中古マンション等","","13112","東京都","世田谷区","弦巻","上町","9",5600000,"","１ＬＤＫ","35",,"","","","昭和48年","ＳＲＣ","住宅","住宅","","",,"近隣商業地域",80,300,"2019年第３四半期","未改装",""
304,"中古マンション等","","13112","東京都","世田谷区","弦巻","上町","7",44000000,"","２ＬＤＫ","75",,"","","","平成13年","ＲＣ","住宅","住宅","","",,"第１種中高層住居専用地域",60,200,"2019年第３四半期","未改装",""
305,"宅地(土地と建物)","住宅地","13112","東京都","世田谷区","弦巻","桜新町","7",210000000,"","","310",,"長方形","11.5","300","平成9年","軽量鉄骨造","共同住宅","住宅","南","区道",11.0,"第１種中高層住居専用地域",60,200,"2019年第３四半期","",""
306,"宅地(土地と建物)","住宅地","13112","東京都","世田谷区","弦巻","桜新町","8",200000000,"","","160",,"ほぼ長方形","10.2","250","平成31年","鉄骨造","共同住宅","住宅","北東","区道",6.0,"第１種中高層住居専用地域",60,200,"2019年第３四半期","",""
307,"中古マンション等","","13112","東京都","世田谷区","弦巻","桜新町","9",69000000,"","１ＬＤＫ","65",,"","","","平成12年","ＲＣ","住宅","住宅","","",,"第１種低層住居専用地域",60,150,"2019年第３四半期","改装済",""
308,"中古マンション等","","13112","東京都","世田谷区","弦巻","桜新町","14",44000000,"","３ＬＤＫ","70",,"","","","平成13年","ＲＣ","","","","",,"第１種中高層住居専用地域",60,200,"2019年第３四半期","未改装",""
309,"中古マンション等","","13112","東京都","世田谷区","弦巻","桜新町","8",9100000,"","１Ｒ","20",,"","","","昭和58年","ＲＣ","","その他","","",,"準工業地域",60,200,"2019年第３四半期","未改装",""
310,"中古マンション等","","13112","東京都","世田谷区","弦巻","桜新町","10",75000000,"","３ＬＤＫ","85",,"","","","平成7年","ＳＲＣ","住宅","住宅","","",,"第１種中高層住居専用地域",60,200,"2019年第３四半期","改装済",""
311,"中古マンション等","","13112","東京都","世田谷区","弦巻","桜新町","10",100000000,"","３ＬＤＫ","105",,"","","","平成9年","ＳＲＣ","住宅","住宅","","",,"第１種住居地域",60,200,"2019年第３四半期","未改装",""
312,"中古マンション等","","13112","東京都","世田谷区","弦巻","桜新町","11",32000000,"","１ＬＤＫ","50",,"","","","昭和49年","ＲＣ","住宅","","","",,"第１種中高層住居専用地域",60,200,"2019年第３四半期","改装済",""
313,"中古マンション等","","13112","東京都","世田谷区","弦巻","桜新町","11",17000000,"","１ＤＫ","30",,"","","","平成4年","ＲＣ","住宅","住宅","","",,"第１種中高層住居専用地域",60,200,"2019年第３四半期","未改装",""
314,"中古マンション等","","13112","東京都","世田谷区","弦巻","桜新町","10",110000000,"","２ＬＤＫ","110",,"","","","平成9年","ＳＲＣ","住宅","住宅","","",,"第１種住居地域",60,200,"2019年第３四半期","改装済",""
315,"中古マンション等","","13112","東京都","世田谷区","弦巻","桜新町","9",53000000,"","２ＬＤＫ","75",,"","","","平成15年","ＲＣ","","住宅","","",,"第１種中高層住居専用地域",60,200,"2019年第３四半期","",""
316,"宅地(土地と建物)","住宅地","13112","東京都","世田谷区","弦巻","世田谷","9",100000000,"","","100",,"ほぼ整形","10.0","100","平成30年","木造","住宅","住宅","西","区道",6.1,"第１種低層住居専用地域",50,100,"2019年第３四半期","",""
317,"宅地(土地)","住宅地","13112","東京都","世田谷区","弦巻","世田谷","9",60000000,"2400000","","85",720000,"不整形","2.5","","","","","住宅","南西","区道",4.0,"第１種低層住居専用地域",50,100,"2019年第３四半期","",""
318,"中古マンション等","","13112","東京都","世田谷区","弦巻","世田谷","9",51000000,"","３ＬＤＫ","70",,"","","","平成11年","ＲＣ","","住宅","","",,"第１種中高層住居専用地域",60,200,"2019年第３四半期","未改装",""
319,"宅地(土地と建物)","住宅地","13112","東京都","世田谷区","等々力","尾山台","6",110000000,"","","210",,"ほぼ長方形","20.3","165","平成29年","木造","共同住宅","その他","西","道路",2.9,"第１種低層住居専用地域",50,100,"2019年第３四半期","","私道を含む取引"
320,"宅地(土地と建物)","住宅地","13112","東京都","世田谷区","等々力","尾山台","12",40000000,"","","110",,"不整形","","115","昭和62年","木造","住宅","","北","区道",10.0,"第１種住居地域",60,300,"2019年第３四半期","",""
321,"宅地(土地と建物)","住宅地","13112","東京都","世田谷区","等々力","尾山台","11",110000000,"","","90",,"長方形","10.5","90","平成31年","木造","住宅","住宅","北","区道",8.7,"第１種低層住居専用地域",50,100,"2019年第３四半期","",""
322,"宅地(土地と建物)","住宅地","13112","東京都","世田谷区","等々力","尾山台","10",120000000,"","","95",,"ほぼ長方形","11.1","110","平成31年","木造","住宅","住宅","北","区道",8.6,"第１種低層住居専用地域",50,100,"2019年第３四半期","",""
323,"宅地(土地と建物)","住宅地","13112","東京都","世田谷区","等々力","尾山台","10",130000000,"","","95",,"ほぼ長方形","10.5","95","平成31年","木造","住宅","住宅","南","私道",5.0,"第１種低層住居専用地域",50,100,"2019年第３四半期","",""
324,"宅地(土地と建物)","住宅地","13112","東京都","世田谷区","等々力","尾山台","10",120000000,"","","90",,"ほぼ長方形","10.8","90","平成31年","木造","住宅","住宅","北","私道",5.0,"第１種低層住居専用地域",50,100,"2019年第３四半期","",""
325,"宅地(土地と建物)","住宅地","13112","東京都","世田谷区","等々力","尾山台","10",120000000,"","","90",,"ほぼ長方形","","90","平成31年","木造","住宅","住宅","北","私道",5.0,"第１種低層住居専用地域",50,100,"2019年第３四半期","",""
326,"中古マンション等","","13112","東京都","世田谷区","等々力","尾山台","6",21000000,"","１ＬＤＫ","35",,"","","","昭和43年","ＲＣ","住宅","住宅","","",,"第２種住居地域",60,300,"2019年第３四半期","改装済",""
