"No","種類","地域","市区町村コード","都道府県名","市区町村名","地区名","最寄駅：名称","最寄駅：距離（分）","取引価格（総額）","坪単価","間取り","面積（㎡）","取引価格（㎡単価）","土地の形状","間口","延床面積（㎡）","建築年","建物の構造","用途","今後の利用目的","前面道路：方位","前面道路：種類","前面道路：幅員（ｍ）","都市計画","建ぺい率（％）","容積率（％）","取引時点","改装","取引の事情等"
1,"宅地(土地)","住宅地","13112","東京都","世田谷区","赤堤","経堂","8",61000000,"2300000","","85",710000,"ほぼ整形","10.0","","","","","住宅","南","区道",3.6,"第１種低層住居専用地域",50,100,"2020年第３四半期","",""
2,"中古マンション等","","13112","東京都","世田谷区","赤堤","豪徳寺","5",79000000,"","３ＬＤＫ","85",,"","","","平成15年","ＲＣ","住宅","住宅","","",,"第１種住居地域",60,200,"2020年第３四半期","未改装",""
3,"宅地(土地と建物)","住宅地","13112","東京都","世田谷区","赤堤","下高井戸","6",19000000,"","","80",,"袋地等","","65","昭和59年","木造","共同住宅","住宅","南西","道路",3.4,"第１種低層住居専用地域",60,150,"2020年第３四半期","",""
4,"中古マンション等","","13112","東京都","世田谷区","赤堤","下高井戸","5",61000000,"","３ＬＤＫ","70",,"","","","","ＲＣ","住宅","住宅","","",,"第１種中高層住居専用地域",60,200,"2020年第３四半期","未改装",""
5,"宅地(土地と建物)","住宅地","13112","東京都","世田谷区","赤堤","松原(東京)","9",64000000,"","","85",,"長方形","7.5","115","平成6年","ＲＣ、木造","住宅","住宅","北","私道",4.5,"第１種低層住居専用地域",50,100,"2020年第３四半期","",""
6,"宅地(土地と建物)","住宅地","13112","東京都","世田谷区","赤堤","松原(東京)","7",85000000,"","","120",,"ほぼ長方形","6.7","160","昭和59年","ＲＣ","住宅","住宅","北","区道",5.9,"第１種低層住居専用地域",60,150,"2020年第３四半期","",""
7,"中古マンション等","","13112","東京都","世田谷区","赤堤","松原(東京)","3",54000000,"","３ＬＤＫ","70",,"","","","平成12年","ＲＣ","","住宅","","",,"近隣商業地域",80,300,"2020年第３四半期","改装済",""
8,"宅地(土地)","商業地","13112","東京都","世田谷区","池尻","池尻大橋","12",96000000,"2900000","","105",890000,"ほぼ長方形","7.0","","","","","住宅","北","都道",15.0,"第１種住居地域",60,200,"2020年第３四半期","",""
9,"宅地(土地と建物)","商業地","13112","東京都","世田谷区","池尻","池尻大橋","7",130000000,"","","165",,"ほぼ長方形","9.0","","","","","その他","南","区道",11.0,"近隣商業地域",80,200,"2020年第３四半期","",""
10,"宅地(土地と建物)","商業地","13112","東京都","世田谷区","池尻","池尻大橋","7",70000000,"","","125",,"ほぼ長方形","7.0","","","","","その他","西","私道",2.5,"近隣商業地域",80,200,"2020年第３四半期","",""
