"No","種類","地域","市区町村コード","都道府県名","市区町村名","地区名","最寄駅：名称","最寄駅：距離（分）","取引価格（総額）","坪単価","間取り","面積（㎡）","取引価格（㎡単価）","土地の形状","間口","延床面積（㎡）","建築年","建物の構造","用途","今後の利用目的","前面道路：方位","前面道路：種類","前面道路：幅員（ｍ）","都市計画","建ぺい率（％）","容積率（％）","取引時点","改装","取引の事情等"
11,"宅地(土地と建物)","住宅地","13112","東京都","世田谷区","池尻","池尻大橋","7",59000000,"","","45",,"長方形","4.0","70","平成13年","木造","住宅","住宅","南","区道",4.0,"準工業地域",60,200,"2020年第３四半期","",""
12,"宅地(土地と建物)","住宅地","13112","東京都","世田谷区","池尻","池尻大橋","3",71000000,"","","65",,"長方形","9.0","105","昭和60年","鉄骨造","共同住宅","住宅","北","区道",3.6,"第１種住居地域",60,200,"2020年第３四半期","",""
13,"宅地(土地と建物)","住宅地","13112","東京都","世田谷区","池尻","池尻大橋","12",290000000,"","","200",,"ほぼ長方形","11.0","250","平成30年","ＲＣ","共同住宅","住宅","南","私道",4.0,"第１種中高層住居専用地域",60,200,"2020年第３四半期","","私道を含む取引"
14,"中古マンション等","","13112","東京都","世田谷区","池尻","池尻大橋","6",9100000,"","１Ｋ","15",,"","","","昭和59年","ＲＣ","住宅","住宅","","",,"第１種住居地域",60,200,"2020年第３四半期","未改装",""
15,"中古マンション等","","13112","東京都","世田谷区","池尻","池尻大橋","5",21000000,"","１ＤＫ","40",,"","","","昭和50年","ＳＲＣ","","住宅","","",,"商業地域",80,500,"2020年第３四半期","",""
16,"中古マンション等","","13112","東京都","世田谷区","池尻","池尻大橋","7",31000000,"","１Ｋ","25",,"","","","平成18年","ＲＣ","住宅","住宅","","",,"近隣商業地域",80,300,"2020年第３四半期","",""
17,"宅地(土地と建物)","住宅地","13112","東京都","世田谷区","梅丘","梅ケ丘","11",49000000,"","","85",,"ほぼ長方形","7.7","90","昭和61年","木造","共同住宅","住宅","南東","私道",1.9,"第１種低層住居専用地域",60,150,"2020年第３四半期","",""
18,"宅地(土地)","住宅地","13112","東京都","世田谷区","梅丘","梅ケ丘","9",52000000,"2300000","","75",680000,"ほぼ長方形","5.5","","","","","住宅","東","区道",3.7,"第１種低層住居専用地域",60,150,"2020年第３四半期","",""
19,"宅地(土地と建物)","住宅地","13112","東京都","世田谷区","梅丘","梅ケ丘","8",82000000,"","","70",,"長方形","6.4","105","令和2年","木造","住宅","住宅","北","私道",2.5,"第１種低層住居専用地域",60,150,"2020年第３四半期","",""
20,"宅地(土地と建物)","住宅地","13112","東京都","世田谷区","梅丘","梅ケ丘","8",120000000,"","","100",,"ほぼ長方形","8.0","145","平成31年","木造","住宅","住宅","南","区道",4.5,"第１種低層住居専用地域",60,150,"2020年第３四半期","",""
21,"宅地(土地と建物)","住宅地","13112","東京都","世田谷区","梅丘","梅ケ丘","5",79000000,"","","115",,"不整形","2.5","115","平成19年","木造","住宅","住宅","西","区道",11.0,"第１種中高層住居専用地域",60,200,"2020年第３四半期","",""
22,"中古マンション等","","13112","東京都","世田谷区","梅丘","梅ケ丘","8",48000000,"","２ＬＤＫ","60",,"","","","平成15年","ＲＣ","住宅","住宅","","",,"第１種中高層住居専用地域",60,200,"2020年第３四半期","未改装",""
23,"中古マンション等","","13112","東京都","世田谷区","梅丘","梅ケ丘","8",64000000,"","２ＬＤＫ","70",,"","","","平成15年","ＲＣ","住宅","住宅","","",,"第１種中高層住居専用地域",60,200,"2020年第３四半期","",""
24,"宅地(土地)","住宅地","13112","東京都","世田谷区","梅丘","豪徳寺","5",65000000,"3000000","","70",920000,"ほぼ整形","5.2","","","","","住宅","南","区道",5.6,"第１種中高層住居専用地域",60,200,"2020年第３四半期","",""
25,"中古マンション等","","13112","東京都","世田谷区","大蔵","成城学園前","23",38000000,"","３ＬＤＫ","80",,"","","","平成15年","ＲＣ","","住宅","","",,"第１種中高層住居専用地域",60,200,"2020年第３四半期","未改装",""
26,"宅地(土地と建物)","住宅地","13112","東京都","世田谷区","大蔵","祖師ケ谷大蔵","21",53000000,"","","85",,"不整形","2.2","95","平成15年","木造","住宅","住宅","西","区道",4.0,"第１種中高層住居専用地域",60,200,"2020年第３四半期","",""
27,"宅地(土地)","住宅地","13112","東京都","世田谷区","大原","下北沢","8",110000000,"3100000","","115",930000,"台形","11.5","","","","","住宅","南西","区道",3.7,"第１種低層住居専用地域",50,150,"2020年第３四半期","",""
28,"中古マンション等","","13112","東京都","世田谷区","大原","代田橋","3",24000000,"","１Ｋ","25",,"","","","平成17年","ＲＣ","住宅","住宅","","",,"第１種住居地域",60,200,"2020年第３四半期","改装済",""
29,"中古マンション等","","13112","東京都","世田谷区","大原","代田橋","7",34000000,"","１Ｋ","25",,"","","","平成31年","ＲＣ","住宅","住宅","","",,"第２種中高層住居専用地域",60,200,"2020年第３四半期","未改装",""
30,"中古マンション等","","13112","東京都","世田谷区","大原","代田橋","6",35000000,"","１ＬＤＫ","40",,"","","","平成15年","ＲＣ","住宅","住宅","","",,"近隣商業地域",80,300,"2020年第３四半期","改装済",""
31,"中古マンション等","","13112","東京都","世田谷区","大原","代田橋","2",26000000,"","","20",,"","","","平成17年","ＳＲＣ","住宅","住宅","","",,"商業地域",80,400,"2020年第３四半期","未改装",""
32,"中古マンション等","","13112","東京都","世田谷区","大原","代田橋","2",22000000,"","１Ｋ","20",,"","","","平成17年","ＳＲＣ","住宅","住宅","","",,"商業地域",80,400,"2020年第３四半期","未改装",""
33,"宅地(土地)","住宅地","13112","東京都","世田谷区","岡本","二子玉川","25",35000000,"1200000","","100",350000,"長方形","","","","","","住宅","南西","区道",5.7,"第１種低層住居専用地域",50,100,"2020年第３四半期","",""
34,"中古マンション等","","13112","東京都","世田谷区","岡本","二子玉川","20",59000000,"","３ＬＤＫ","75",,"","","","平成26年","ＲＣ","住宅","住宅","","",,"第２種低層住居専用地域",60,200,"2020年第３四半期","改装済",""
35,"宅地(土地と建物)","住宅地","13112","東京都","世田谷区","岡本","用賀","20",260000000,"","","500",,"長方形","14.3","330","平成28年","木造","住宅、駐車場","事務所","南東","区道",6.0,"第１種低層住居専用地域",50,100,"2020年第３四半期","",""
36,"宅地(土地と建物)","住宅地","13112","東京都","世田谷区","岡本","用賀","15",74000000,"","","100",,"ほぼ台形","9.3","90","平成25年","木造","住宅","住宅","北東","区道",6.0,"第１種低層住居専用地域",50,100,"2020年第３四半期","",""
37,"中古マンション等","","13112","東京都","世田谷区","岡本","用賀","28",24000000,"","２ＬＤＫ","60",,"","","","昭和53年","ＲＣ","住宅","住宅","","",,"第１種低層住居専用地域",50,100,"2020年第３四半期","未改装",""
38,"宅地(土地と建物)","住宅地","13112","東京都","世田谷区","奥沢","奥沢","7",79000000,"","","105",,"長方形","5.3","95","平成20年","木造","住宅","住宅","東","私道",4.0,"第１種低層住居専用地域",50,100,"2020年第３四半期","",""
39,"宅地(土地と建物)","住宅地","13112","東京都","世田谷区","奥沢","奥沢","9",88000000,"","","95",,"不整形","4.7","90","平成31年","木造","住宅","住宅","北","区道",5.5,"第１種低層住居専用地域",50,100,"2020年第３四半期","",""
40,"宅地(土地)","住宅地","13112","東京都","世田谷区","奥沢","奥沢","6",90000000,"2900000","","105",860000,"ほぼ長方形","7.3","","","","","住宅","南","区道",5.4,"第１種低層住居専用地域",50,100,"2020年第３四半期","",""
41,"宅地(土地と建物)","住宅地","13112","東京都","世田谷区","奥沢","奥沢","5",95000000,"","","175",,"ほぼ長方形","12.0","165","昭和62年","木造","共同住宅","","北","区道",5.4,"第１種低層住居専用地域",50,100,"2020年第３四半期","",""
42,"中古マンション等","","13112","東京都","世田谷区","奥沢","奥沢","1",60000000,"","２ＤＫ","50",,"","","","平成14年","ＳＲＣ","住宅","住宅","","",,"商業地域",80,500,"2020年第３四半期","未改装",""
43,"宅地(土地)","住宅地","13112","東京都","世田谷区","奥沢","九品仏","8",90000000,"2600000","","110",800000,"台形","6.0","","","","","住宅","西","区道",9.8,"第２種低層住居専用地域",60,150,"2020年第３四半期","",""
44,"宅地(土地と建物)","住宅地","13112","東京都","世田谷区","奥沢","九品仏","7",130000000,"","","180",,"長方形","11.5","170","昭和56年","木造","住宅","住宅","南","区道",6.2,"第２種低層住居専用地域",60,150,"2020年第３四半期","",""
45,"宅地(土地)","住宅地","13112","東京都","世田谷区","奥沢","自由が丘(東京)","4",88000000,"4400000","","65",1300000,"ほぼ正方形","7.7","","","","","その他","北","区道",3.8,"第１種低層住居専用地域",50,100,"2020年第３四半期","",""
46,"宅地(土地と建物)","住宅地","13112","東京都","世田谷区","奥沢","緑が丘(東京)","5",130000000,"","","105",,"ほぼ長方形","6.7","105","令和2年","木造","住宅","住宅","南","区道",5.4,"第１種低層住居専用地域",50,100,"2020年第３四半期","",""
47,"宅地(土地と建物)","住宅地","13112","東京都","世田谷区","尾山台","尾山台","6",110000000,"","","100",,"長方形","12.4","125","","","住宅","住宅","北","区道",6.3,"第１種低層住居専用地域",50,100,"2020年第３四半期","",""
48,"宅地(土地と建物)","住宅地","13112","東京都","世田谷区","尾山台","尾山台","12",130000000,"","","280",,"袋地等","4.5","165","平成17年","木造","住宅","住宅","南","区道",4.4,"第１種低層住居専用地域",40,80,"2020年第３四半期","",""
49,"中古マンション等","","13112","東京都","世田谷区","尾山台","尾山台","5",53000000,"","２ＬＤＫ","55",,"","","","平成15年","ＲＣ","住宅","住宅","","",,"第２種住居地域",60,300,"2020年第３四半期","未改装",""
50,"宅地(土地)","住宅地","13112","東京都","世田谷区","尾山台","九品仏","10",90000000,"1800000","","170",530000,"不整形","7.6","","","","","住宅","西","区道",7.8,"第１種低層住居専用地域",40,80,"2020年第３四半期","",""
51,"中古マンション等","","13112","東京都","世田谷区","尾山台","九品仏","7",25000000,"","１Ｋ","25",,"","","","平成24年","ＲＣ","住宅","その他","","",,"第２種住居地域",60,200,"2020年第３四半期","",""
52,"中古マンション等","","13112","東京都","世田谷区","尾山台","九品仏","16",47000000,"","３ＬＤＫ","75",,"","","","昭和59年","ＲＣ","住宅","住宅","","",,"第１種低層住居専用地域",50,100,"2020年第３四半期","改装済",""
53,"宅地(土地と建物)","住宅地","13112","東京都","世田谷区","粕谷","千歳烏山","10",72000000,"","","100",,"ほぼ整形","8.9","95","平成23年","木造","住宅","住宅","東","私道",6.6,"第１種低層住居専用地域",50,100,"2020年第３四半期","",""
54,"宅地(土地と建物)","住宅地","13112","東京都","世田谷区","粕谷","千歳烏山","10",74000000,"","","150",,"ほぼ台形","9.5","150","平成2年","軽量鉄骨造","共同住宅","住宅","北西","区道",3.9,"第１種低層住居専用地域",60,150,"2020年第３四半期","",""
55,"宅地(土地と建物)","住宅地","13112","東京都","世田谷区","粕谷","千歳烏山","15",68000000,"","","105",,"ほぼ長方形","5.7","95","令和2年","木造","住宅","住宅","北","区道",4.0,"第１種低層住居専用地域",50,100,"2020年第３四半期","",""
56,"宅地(土地と建物)","住宅地","13112","東京都","世田谷区","粕谷","千歳烏山","13",61000000,"","","110",,"長方形","10.9","85","令和2年","木造","住宅","住宅","北","私道",4.0,"第１種低層住居専用地域",50,100,"2020年第３四半期","","私道を含む取引"
57,"宅地(土地)","住宅地","13112","東京都","世田谷区","粕谷","千歳烏山","8",57000000,"1800000","","105",550000,"ほぼ長方形","8.1","","","","","住宅","南","区道",4.0,"第１種低層住居専用地域",50,100,"2020年第３四半期","",""
58,"中古マンション等","","13112","東京都","世田谷区","粕谷","千歳烏山","13",52000000,"","３ＬＤＫ","65",,"","","","平成23年","ＲＣ","","住宅","","",,"第１種中高層住居専用地域",60,200,"2020年第３四半期","未改装",""
59,"中古マンション等","","13112","東京都","世田谷区","粕谷","八幡山","10",56000000,"","３ＬＤＫ","70",,"","","","平成25年","ＲＣ","","住宅","","",,"第１種低層住居専用地域",50,100,"2020年第３四半期","未改装",""
60,"中古マンション等","","13112","東京都","世田谷区","粕谷","八幡山","13",43000000,"","２ＬＤＫ","65",,"","","","平成16年","ＲＣ","住宅","住宅","","",,"第２種住居地域",60,300,"2020年第３四半期","改装済",""
61,"宅地(土地)","住宅地","13112","東京都","世田谷区","鎌田","二子玉川","29",39000000,"1300000","","100",390000,"ほぼ長方形","8.3","","","","","住宅","東","区道",4.5,"第１種低層住居専用地域",50,100,"2020年第３四半期","",""
62,"宅地(土地と建物)","住宅地","13112","東京都","世田谷区","鎌田","二子玉川","26",33000000,"","","50",,"ほぼ正方形","7.0","35","令和2年","木造","住宅","住宅","西","区道",3.6,"第１種低層住居専用地域",50,100,"2020年第３四半期","",""
63,"宅地(土地)","住宅地","13112","東京都","世田谷区","鎌田","二子玉川","20",57000000,"1900000","","100",570000,"長方形","7.2","","","","","","北東","区道",6.0,"第２種低層住居専用地域",60,200,"2020年第３四半期","",""
64,"中古マンション等","","13112","東京都","世田谷区","鎌田","二子玉川","23",23000000,"","３ＬＤＫ","60",,"","","","昭和61年","ＲＣ","住宅","住宅","","",,"第１種中高層住居専用地域",60,200,"2020年第３四半期","未改装",""
65,"中古マンション等","","13112","東京都","世田谷区","鎌田","二子玉川","28",44000000,"","３ＬＤＫ","70",,"","","","平成16年","鉄骨造","住宅","住宅","","",,"第１種低層住居専用地域",50,100,"2020年第３四半期","改装済",""
66,"宅地(土地と建物)","住宅地","13112","東京都","世田谷区","上馬","駒沢大学","3",400000000,"","","420",,"ほぼ正方形","20.1","320","平成4年","ＲＣ、木造","住宅","住宅","西","区道",3.6,"第１種住居地域",60,200,"2020年第３四半期","",""
67,"宅地(土地)","住宅地","13112","東京都","世田谷区","上馬","駒沢大学","6",43000000,"2900000","","50",870000,"ほぼ長方形","6.0","","","","","住宅","西","区道",5.2,"第１種低層住居専用地域",60,150,"2020年第３四半期","",""
68,"宅地(土地と建物)","商業地","13112","東京都","世田谷区","上馬","駒沢大学","9",540000000,"","","280",,"ほぼ整形","21.0","1300","昭和45年","ＳＲＣ","共同住宅、事務所","住宅","北西","国道",30.0,"商業地域",80,500,"2020年第３四半期","",""
69,"宅地(土地と建物)","住宅地","13112","東京都","世田谷区","上馬","駒沢大学","11",68000000,"","","80",,"不整形","","95","平成25年","木造","住宅","住宅","南東","私道",4.0,"第１種低層住居専用地域",60,150,"2020年第３四半期","",""
70,"宅地(土地)","住宅地","13112","東京都","世田谷区","上馬","駒沢大学","6",150000000,"1700000","","290",530000,"長方形","9.0","","","","","","西","区道",8.0,"第１種中高層住居専用地域",60,150,"2020年第３四半期","",""
71,"宅地(土地)","住宅地","13112","東京都","世田谷区","上馬","駒沢大学","7",90000000,"3100000","","95",940000,"ほぼ長方形","11.8","","","","","住宅","南西","区道",5.0,"第１種低層住居専用地域",60,150,"2020年第３四半期","","私道を含む取引"
72,"宅地(土地と建物)","住宅地","13112","東京都","世田谷区","上馬","駒沢大学","10",50000000,"","","75",,"不整形","2.7","85","平成2年","木造","住宅","住宅","西","区道",6.0,"第１種中高層住居専用地域",60,200,"2020年第３四半期","",""
73,"宅地(土地)","住宅地","13112","東京都","世田谷区","上馬","駒沢大学","10",63000000,"2500000","","85",760000,"長方形","6.0","","","","","住宅","東","私道",3.5,"第１種低層住居専用地域",50,100,"2020年第３四半期","",""
74,"宅地(土地と建物)","住宅地","13112","東京都","世田谷区","上馬","駒沢大学","10",210000000,"","","270",,"不整形","","370","平成20年","軽量鉄骨造","共同住宅","住宅","北","私道",3.5,"第１種低層住居専用地域",60,150,"2020年第３四半期","","私道を含む取引"
75,"宅地(土地)","住宅地","13112","東京都","世田谷区","上馬","駒沢大学","7",110000000,"2000000","","180",610000,"長方形","10.0","","","","","住宅","北","区道",6.0,"第１種低層住居専用地域",50,100,"2020年第３四半期","",""
76,"中古マンション等","","13112","東京都","世田谷区","上馬","駒沢大学","3",29000000,"","１Ｋ","20",,"","","","平成18年","ＲＣ","住宅","住宅","","",,"商業地域",80,500,"2020年第３四半期","",""
77,"中古マンション等","","13112","東京都","世田谷区","上馬","駒沢大学","10",8500000,"","１Ｋ","20",,"","","","平成10年","ＲＣ","住宅","住宅","","",,"第２種中高層住居専用地域",60,200,"2020年第３四半期","未改装",""
78,"中古マンション等","","13112","東京都","世田谷区","上馬","駒沢大学","2",33000000,"","２ＬＤＫ","40",,"","","","昭和59年","ＲＣ","住宅","住宅","","",,"第１種中高層住居専用地域",60,200,"2020年第３四半期","改装済",""
79,"宅地(土地)","住宅地","13112","東京都","世田谷区","上馬","三軒茶屋","9",51000000,"1900000","","90",560000,"ほぼ正方形","6.9","","","","","住宅","東","区道",3.5,"第１種低層住居専用地域",60,150,"2020年第３四半期","",""
80,"宅地(土地と建物)","住宅地","13112","東京都","世田谷区","上馬","三軒茶屋","9",75000000,"","","90",,"ほぼ整形","5.5","100","昭和64年","木造","共同住宅","住宅","西","私道",4.0,"第１種低層住居専用地域",60,150,"2020年第３四半期","","私道を含む取引"
81,"中古マンション等","","13112","東京都","世田谷区","上馬","三軒茶屋","8",22000000,"","１Ｋ","20",,"","","","平成16年","ＲＣ","住宅","住宅","","",,"商業地域",80,500,"2020年第３四半期","未改装",""
82,"中古マンション等","","13112","東京都","世田谷区","上馬","三軒茶屋","7",20000000,"","１Ｋ","20",,"","","","平成11年","ＳＲＣ","住宅","住宅","","",,"商業地域",80,500,"2020年第３四半期","",""
83,"中古マンション等","","13112","東京都","世田谷区","上馬","三軒茶屋","9",42000000,"","３ＤＫ","45",,"","","","昭和61年","ＲＣ","住宅","住宅","","",,"第１種低層住居専用地域",60,150,"2020年第３四半期","改装済",""
84,"中古マンション等","","13112","東京都","世田谷区","上馬","三軒茶屋","8",22000000,"","１Ｋ","20",,"","","","平成16年","ＲＣ","住宅","住宅","","",,"商業地域",80,500,"2020年第３四半期","未改装",""
85,"中古マンション等","","13112","東京都","世田谷区","上馬","三軒茶屋","13",24000000,"","１Ｋ","20",,"","","","平成15年","ＲＣ","住宅","住宅","","",,"近隣商業地域",80,300,"2020年第３四半期","未改装",""
86,"中古マンション等","","13112","東京都","世田谷区","上馬","三軒茶屋","8",30000000,"","２ＬＤＫ","45",,"","","","昭和58年","ＳＲＣ","住宅","住宅","","",,"商業地域",80,500,"2020年第３四半期","改装済",""
87,"宅地(土地)","住宅地","13112","東京都","世田谷区","上馬","松陰神社前","6",91000000,"1100000","","280",320000,"不整形","2.7","","","","","","西","区道",5.9,"第１種低層住居専用地域",60,150,"2020年第３四半期","",""
88,"宅地(土地)","住宅地","13112","東京都","世田谷区","上馬","松陰神社前","8",120000000,"2100000","","195",630000,"不整形","10.2","","","","","住宅","北東","区道",6.0,"第１種低層住居専用地域",50,100,"2020年第３四半期","",""
89,"宅地(土地と建物)","住宅地","13112","東京都","世田谷区","上北沢","上北沢","",250000000,"","","420",,"台形","19.5","470","昭和64年","鉄骨造","共同住宅","住宅","西","区道",3.5,"第１種低層住居専用地域",50,100,"2020年第３四半期","",""
90,"宅地(土地と建物)","住宅地","13112","東京都","世田谷区","上北沢","上北沢","11",78000000,"","","140",,"ほぼ台形","7.7","105","令和2年","木造","住宅","住宅","西","私道",4.0,"第１種中高層住居専用地域",60,200,"2020年第３四半期","","私道を含む取引"
91,"宅地(土地)","住宅地","13112","東京都","世田谷区","上北沢","上北沢","8",72000000,"1900000","","120",590000,"ほぼ長方形","10.5","","","","","住宅","南西","区道",12.7,"第１種低層住居専用地域",50,100,"2020年第３四半期","",""
92,"宅地(土地と建物)","住宅地","13112","東京都","世田谷区","上北沢","上北沢","4",150000000,"","","120",,"長方形","8.4","110","令和2年","木造","住宅","住宅","北","区道",5.2,"第１種低層住居専用地域",50,100,"2020年第３四半期","",""
93,"宅地(土地と建物)","住宅地","13112","東京都","世田谷区","上北沢","上北沢","5",50000000,"","","120",,"長方形","9.5","105","昭和43年","木造","共同住宅","住宅","西","私道",3.5,"第１種低層住居専用地域",50,100,"2020年第３四半期","","私道を含む取引"
94,"中古マンション等","","13112","東京都","世田谷区","上北沢","上北沢","6",52000000,"","３ＬＤＫ","70",,"","","","昭和62年","ＲＣ","","住宅","","",,"第１種住居地域",60,200,"2020年第３四半期","改装済",""
95,"中古マンション等","","13112","東京都","世田谷区","上北沢","上北沢","10",40000000,"","２ＬＤＫ","60",,"","","","平成8年","ＲＣ","住宅","住宅","","",,"第１種中高層住居専用地域",60,200,"2020年第３四半期","改装済",""
96,"中古マンション等","","13112","東京都","世田谷区","上北沢","上北沢","3",21000000,"","１Ｋ","20",,"","","","平成12年","ＲＣ","住宅","住宅","","",,"近隣商業地域",80,300,"2020年第３四半期","未改装",""
97,"中古マンション等","","13112","東京都","世田谷区","上北沢","上北沢","7",14000000,"","１Ｋ","20",,"","","","昭和64年","ＲＣ","住宅","住宅","","",,"第１種中高層住居専用地域",60,200,"2020年第３四半期","",""
98,"宅地(土地と建物)","住宅地","13112","東京都","世田谷区","上北沢","桜上水","14",71000000,"","","115",,"ほぼ台形","10.9","100","平成25年","木造","住宅","住宅","南","私道",5.3,"第１種低層住居専用地域",50,100,"2020年第３四半期","","私道を含む取引"
99,"宅地(土地)","商業地","13112","東京都","世田谷区","上北沢","八幡山","4",140000000,"2000000","","230",600000,"不整形","5.5","","","","","","北","国道",25.0,"近隣商業地域",80,300,"2020年第３四半期","",""
100,"宅地(土地)","住宅地","13112","東京都","世田谷区","上祖師谷","仙川","11",23000000,"1700000","","45",520000,"長方形","4.5","","","","","","南","区道",7.4,"第１種低層住居専用地域",50,100,"2020年第３四半期","",""
101,"宅地(土地と建物)","住宅地","13112","東京都","世田谷区","上祖師谷","仙川","15",62000000,"","","155",,"ほぼ長方形","12.8","105","平成23年","木造","住宅","住宅","南","私道",4.0,"第１種低層住居専用地域",50,100,"2020年第３四半期","",""
102,"宅地(土地と建物)","住宅地","13112","東京都","世田谷区","上祖師谷","仙川","9",39000000,"","","105",,"ほぼ長方形","4.0","75","昭和43年","木造","住宅、共同住宅","住宅","北西","道路",4.0,"第１種低層住居専用地域",50,100,"2020年第３四半期","",""
103,"宅地(土地と建物)","住宅地","13112","東京都","世田谷区","上祖師谷","仙川","13",83000000,"","","135",,"ほぼ長方形","9.1","105","平成21年","木造","住宅","住宅","西","区道",4.5,"第１種低層住居専用地域",50,100,"2020年第３四半期","","私道を含む取引"
104,"宅地(土地)","住宅地","13112","東京都","世田谷区","上祖師谷","千歳烏山","6",300000000,"2000000","","490",610000,"ほぼ長方形","17.0","","","","","住宅","南東","区道",6.0,"第１種低層住居専用地域",50,100,"2020年第３四半期","",""
105,"宅地(土地と建物)","住宅地","13112","東京都","世田谷区","上祖師谷","千歳烏山","16",62000000,"","","100",,"ほぼ長方形","5.9","100","令和2年","木造","住宅","住宅","東","区道",4.0,"第１種低層住居専用地域",40,80,"2020年第３四半期","",""
106,"宅地(土地と建物)","住宅地","13112","東京都","世田谷区","上祖師谷","千歳烏山","14",69000000,"","","105",,"袋地等","2.9","90","令和2年","木造","住宅","住宅","南西","区道",5.0,"第１種低層住居専用地域",50,100,"2020年第３四半期","",""
107,"宅地(土地)","住宅地","13112","東京都","世田谷区","上祖師谷","千歳烏山","14",32000000,"1500000","","70",450000,"ほぼ長方形","7.6","","","","","住宅","南東","私道",4.5,"第１種低層住居専用地域",50,100,"2020年第３四半期","","私道を含む取引"
108,"宅地(土地と建物)","住宅地","13112","東京都","世田谷区","上祖師谷","千歳烏山","19",57000000,"","","145",,"袋地等","2.5","95","令和2年","木造","住宅","住宅","西","区道",3.8,"第１種低層住居専用地域",40,80,"2020年第３四半期","","私道を含む取引"
109,"中古マンション等","","13112","東京都","世田谷区","上祖師谷","千歳烏山","4",16000000,"","１Ｋ","20",,"","","","平成7年","ＲＣ","住宅","住宅","","",,"第１種中高層住居専用地域",60,200,"2020年第３四半期","未改装",""
110,"中古マンション等","","13112","東京都","世田谷区","上祖師谷","千歳烏山","15",50000000,"","３ＬＤＫ","65",,"","","","平成21年","ＲＣ","","住宅","","",,"第１種低層住居専用地域",50,100,"2020年第３四半期","未改装",""
111,"中古マンション等","","13112","東京都","世田谷区","上祖師谷","千歳烏山","15",53000000,"","２ＬＤＫ","65",,"","","","平成21年","ＲＣ","","住宅","","",,"第１種低層住居専用地域",50,100,"2020年第３四半期","未改装",""
112,"宅地(土地)","住宅地","13112","東京都","世田谷区","上野毛","上野毛","6",96000000,"2800000","","110",850000,"長方形","7.2","","","","","住宅","南","区道",5.5,"第２種低層住居専用地域",60,150,"2020年第３四半期","",""
113,"宅地(土地)","住宅地","13112","東京都","世田谷区","上野毛","上野毛","12",51000000,"1600000","","105",480000,"袋地等","2.6","","","","","","南東","区道",5.0,"第１種低層住居専用地域",50,100,"2020年第３四半期","",""
114,"宅地(土地)","住宅地","13112","東京都","世田谷区","上野毛","上野毛","6",75000000,"2300000","","110",690000,"ほぼ整形","10.0","","","","","住宅","北東","区道",6.2,"第１種低層住居専用地域",50,100,"2020年第３四半期","",""
115,"宅地(土地と建物)","住宅地","13112","東京都","世田谷区","上野毛","上野毛","11",66000000,"","","80",,"不整形","2.0","70","","木造","住宅","住宅","南西","区道",6.2,"第１種低層住居専用地域",50,100,"2020年第３四半期","",""
